Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment_x,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Month,Quarter,Year,Contribution (%),Cumulative Contribution (%),ABC Class,Profit Margin (%),Profit Margin,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment_y
2698,CA-2014-145317,2014-03-18,3/23/2014,Standard Class,SM-20320,Sean Miller,Home Office,United States,Jacksonville,Florida,32216,South,TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6,0.5,-1811.0784,3,2014Q1,2014,0.9854810866231156,0.9854810866231156,A,-8.0,-0.08,-338,15,25043.05,3,4,5,345,Others
6827,CA-2016-118689,2016-10-02,10/9/2016,Standard Class,TC-20980,Tamara Chand,Corporate,United States,Lafayette,Indiana,47905,Central,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,17499.95,5,0.0,8399.976,10,2016Q4,2016,0.7617945083702701,1.7472755949933856,A,48.00000000000001,0.48,-18,12,19052.218,1,3,5,135,At Risk
8154,CA-2017-140151,2017-03-23,3/25/2017,First Class,RB-19360,Raymond Buch,Consumer,United States,Seattle,Washington,98115,West,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,13999.96,4,0.0,6719.9808,3,2017Q1,2017,0.6094356066962159,2.3567112016896017,A,48.00000000000001,0.48,-321,18,15117.339,3,5,5,355,Frequent Customers
2624,CA-2017-127180,2017-10-22,10/24/2017,First Class,TA-21385,Tom Ashbrook,Home Office,United States,New York City,New York,10024,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,11199.968,4,0.2,3919.9888,10,2017Q4,2017,0.4875484853569728,2.8442596870465744,A,35.0,0.35,-348,10,14595.62,3,3,5,335,Others
4191,CA-2017-166709,2017-11-17,11/22/2017,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Newark,Delaware,19711,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,10499.97,3,0.0,5039.9856,11,2017Q4,2017,0.4570767050221619,3.301336392068736,A,48.00000000000001,0.48,-374,11,12873.297999999999,4,3,5,435,Others
9040,CA-2016-117121,2016-12-17,12/21/2016,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Detroit,Michigan,48205,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,13,0.0,4946.37,12,2016Q4,2016,0.4306432306797965,3.7319796227485327,A,50.0,0.5,-376,20,14473.570999999998,4,5,5,455,Frequent Customers
4099,CA-2014-116904,2014-09-23,9/28/2014,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,9449.95,5,0.0,4630.4755,9,2014Q3,2014,0.4113680333014456,4.143347656049978,A,48.99999999999999,0.4899999999999999,-68,22,14142.333999999999,1,5,5,155,Frequent Customers
4278,US-2016-107440,2016-04-16,4/20/2016,Standard Class,BS-11365,Bill Shonely,Corporate,United States,Lakewood,New Jersey,8701,East,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,7,0.0,2365.9818,4,2016Q2,2016,0.3961312289780183,4.539478885027997,A,26.0,0.26,141,9,10501.653,1,2,5,125,At Risk
8489,CA-2016-158841,2016-02-02,2/4/2016,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,22204,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",8749.95,5,0.0,2799.984,2,2016Q1,2016,0.3808961659041566,4.9203750509321535,A,32.0,0.3199999999999999,-408,19,12209.438000000002,5,5,5,555,Best Customers
6426,CA-2016-143714,2016-05-23,5/27/2016,Standard Class,CC-12370,Christopher Conant,Consumer,United States,Philadelphia,Pennsylvania,19120,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,8399.976,4,0.4,1119.9968,5,2016Q2,2016,0.3656613640177296,5.286036414949884,A,13.33333333333333,0.1333333333333333,-374,11,12129.072000000002,4,3,5,435,Others
